City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,ulsteinvik,62.3432,5.8487,7.4,83,71,4.02,NO,1698212885
265,acajutla,13.5928,-89.8275,25.44,92,98,2.97,SV,1698212885
266,noumea,-22.2763,166.4572,25.99,89,100,4.16,NC,1698212633
267,afaahiti,-17.75,-149.2833,24.93,81,55,5.64,PF,1698212885
268,dunedin,-45.8742,170.5036,13.78,80,98,3.58,NZ,1698212864
269,princeville,45.7668,-61.2985,8.72,91,0,1.54,CA,1698212885
270,palikir - national government center,6.9248,158.1611,32.41,62,75,3.6,FM,1698212885
271,nogliki,51.8333,143.1667,4.63,85,7,0.89,RU,1698212627
272,hamilton,39.1834,-84.5333,18.82,69,75,2.06,US,1698212886
273,new norfolk,-42.7826,147.0587,10.51,72,99,4.74,AU,1698212886
274,kogalym,62.2654,74.4791,-3.68,95,97,1.95,RU,1698212830
275,superior,46.7208,-92.1041,10.95,92,100,7.2,US,1698212886
276,rongelap,11.1635,166.8941,28.43,78,62,6.5,MH,1698212886
277,lupane,-18.9315,27.807,31.68,28,0,2.23,ZW,1698212886
278,sinabang,2.4803,96.3801,25.97,84,99,1.63,ID,1698212886
279,buriti dos lopes,-3.175,-41.8669,23.47,84,62,2.86,BR,1698212887
280,almeirim,-1.5233,-52.5817,24.24,82,53,1.53,BR,1698212887
281,lepsy,46.235,78.9456,15.21,37,11,1.87,KZ,1698212887
282,rakops,-21.0167,24.3333,29.2,13,0,4.74,BW,1698212635
283,port hedland,-20.3167,118.5667,39.03,19,0,7.2,AU,1698212635
284,vesoul,47.5833,5.8333,10.6,86,94,7.27,FR,1698212887
285,argo,37.6333,22.7333,21.12,55,83,0.76,GR,1698212887
286,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,58,75,3.0,RU,1698212888
287,ulanhot,46.0833,122.0833,18.35,24,21,6.72,CN,1698212888
288,tadine,-21.55,167.8833,21.66,90,100,7.94,NC,1698212888
289,bandarbeyla,9.4942,50.8122,28.82,72,42,3.76,SO,1698212636
290,vadso,70.0744,29.7487,-2.91,80,20,5.66,NO,1698212888
291,pechora,65.1472,57.2244,-5.64,90,97,3.13,RU,1698212888
292,gadzhiyevo,69.2551,33.3362,-2.23,93,97,2.0,RU,1698212637
293,iqaluit,63.7506,-68.5145,-1.15,74,75,2.57,CA,1698212889
294,shetpe,44.1667,52.1167,11.85,59,100,5.53,KZ,1698212889
295,freetown,8.484,-13.2299,24.57,88,100,4.84,SL,1698212625
296,tritenii de jos,46.5833,24.0,13.77,64,100,1.72,RO,1698212889
297,kapuskasing,49.4169,-82.4331,6.05,100,100,3.6,CA,1698212889
298,tera,14.0078,0.7531,26.36,22,4,3.01,NE,1698212638
299,eureka,40.8021,-124.1637,12.08,92,97,0.45,US,1698212870
300,arno,60.1167,18.6333,2.1,76,83,4.97,SE,1698212889
301,buala,-8.145,159.5921,28.38,77,76,2.83,SB,1698212890
302,tolanaro,-25.0319,46.9987,28.04,65,20,5.14,MG,1698212890
303,labrador city,52.9463,-66.9114,1.95,87,100,4.63,CA,1698212714
304,wailea,19.8858,-155.123,25.57,87,100,1.54,US,1698212890
305,chadan,51.2833,91.5833,5.85,33,75,1.72,RU,1698212890
306,iskateley,67.6803,53.1512,-1.1,90,96,7.15,RU,1698212890
307,albertina,-22.2008,-46.6158,19.06,95,98,2.21,BR,1698212890
308,bella vista,36.4295,-94.2316,22.38,75,75,9.77,US,1698212834
309,awjilah,29.1081,21.2869,23.29,33,0,2.16,LY,1698212891
310,salinas,36.6777,-121.6555,15.04,90,100,2.57,US,1698212628
311,byerazino,53.8391,28.9879,5.92,89,100,4.86,BY,1698212891
312,nouadhibou,20.931,-17.0347,22.99,64,16,7.2,MR,1698212891
313,saudarkrokur,65.7461,-19.6394,1.18,76,100,0.99,IS,1698212891
314,morant bay,17.8815,-76.4093,28.79,83,65,4.97,JM,1698212639
315,nar'yan-mar,67.6713,53.087,-1.05,90,96,7.15,RU,1698212640
316,riohacha,11.5444,-72.9072,26.66,84,71,1.08,CO,1698212640
317,pestovo,58.5938,35.8024,-1.87,87,8,1.26,RU,1698212892
318,lompoc,34.6391,-120.4579,15.56,87,100,2.57,US,1698212703
319,muscatine,41.4667,-91.1335,18.39,58,100,5.7,US,1698212892
320,sangareddi,17.6294,78.0917,29.18,36,32,4.3,IN,1698212640
321,hithadhoo,-0.6,73.0833,27.24,81,15,7.36,MV,1698212892
322,thurso,58.5927,-3.5259,9.14,88,92,9.65,GB,1698212640
323,augusta,48.3667,10.8833,7.78,100,0,2.57,DE,1698212892
324,chernigovka,44.3389,132.5728,16.41,35,8,1.87,RU,1698212892
325,merizo village,13.2658,144.6691,31.1,89,36,2.54,GU,1698212893
326,sidi ifni,29.3797,-10.173,16.86,80,25,2.66,MA,1698212893
327,yarega,63.4354,53.5765,-5.07,82,13,3.66,RU,1698212641
328,victorica,-36.2151,-65.4359,14.57,65,87,1.58,AR,1698212893
329,antonio enes,-16.2325,39.9086,29.28,54,0,5.65,MZ,1698212893
330,usinsk,65.9939,57.5281,-11.07,94,66,4.47,RU,1698212641
331,zakamensk,50.3741,103.2863,5.47,30,95,1.85,RU,1698212893
332,wurtulla,-26.7568,153.1256,28.5,75,0,5.36,AU,1698212893
333,atafu village,-8.5421,-172.5159,29.3,73,8,6.5,TK,1698212894
334,tombodu,8.1333,-10.6167,21.59,99,100,0.51,SL,1698212894
335,puerto deseado,-47.7503,-65.8938,10.84,57,30,4.66,AR,1698212642
